C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
14.36637456,0.725300772,"[32,32]",0.331461538,854,193,0.05500762,0.247245509,0.30754491
12.02664604,0.786406038,"[16,16,16]",0.183955009,721,112,0.137375078,0.247125749,0.30748503
17.2294938,0.471342002,"[16,16]",0.061425786,834,300,0.338868444,0.248143713,0.308263473
6.590401768,0.147372493,[32],0.177468155,884,236,0.241624865,0.248143713,0.308263473
12.16566578,0.326186933,"[16,16]",0.506627519,808,470,0.422494519,0.249161677,0.309041916
2.941085036,0.136168511,[32],0.288885644,669,23,0.442196102,0.249161677,0.309041916
17.03520542,0.988062269,"[128,128]",0.014120451,898,414,0.023281268,0.268562874,0.340419162
0.228587691,0.11541968,"[64,64,64]",0.332243963,719,7,0.232539509,0.248143713,0.308263473
1.14015764,0.708663562,"[64,64]",0.459687086,851,230,0.086296369,0.249161677,0.309041916
12.13265435,0.302975871,"[128,128]",0.468791828,965,296,0.221691742,0.248143713,0.308263473
8.922061224,0.973814588,[32],0.419261499,883,141,0.394996585,0.248143713,0.308263473
4.648941241,0.285111791,"[16,16]",0.095534728,943,235,0.233034062,0.247125749,0.30748503
0.423004206,0.590713478,"[32,32,32]",0.444933369,884,378,0.362247565,0.247125749,0.30748503
11.26126166,0.628322389,"[32,32]",0.193735595,946,3,0.374599633,0.249161677,0.309041916
14.90890791,0.641729466,"[128,128]",0.064727932,860,159,0.413078626,0.248143713,0.308263473
13.48644104,0.471536328,"[128,128,128]",0.343563347,756,343,0.452695104,0.248143713,0.308263473
19.18363741,0.711603855,[32],0.397615165,998,255,0.50758312,0.248143713,0.308203593
8.341570937,0.798360604,"[64,64,64]",0.44878063,869,44,0.32817083,0.249161677,0.309041916
11.71656976,0.32459422,"[16,16,16]",0.534528739,683,99,0.362578543,0.249161677,0.309041916
14.60572528,0.136368575,[32],0.513225682,727,494,0.233353968,0.248143713,0.308263473
16.12757868,0.712087835,[128],0.28714009,920,435,0.401022376,0.248143713,0.308263473
6.195398786,0.647993774,"[16,16]",0.194486729,751,498,0.524057322,0.248143713,0.308263473
6.094139991,0.853858186,"[64,64,64]",0.31476349,985,149,0.167808686,0.248143713,0.308263473
8.530305117,0.49932589,"[32,32,32]",0.520649618,820,209,0.003743262,0.250958084,0.310179641
18.11874509,0.416399447,[32],0.367185729,886,423,0.432868976,0.247125749,0.30748503
11.36513946,0.325957145,[64],0.183845446,951,368,0.133811933,0.248143713,0.308263473
11.20726614,0.01598176,"[32,32,32]",0.305735056,931,21,0.463036363,0.249161677,0.309041916
1.152643556,0.029160063,[64],0.330857174,989,21,0.036261587,0.360658683,0.441916168
18.37944128,0.005040981,"[64,64]",0.133469513,711,47,0.482998596,0.249161677,0.309041916
5.116898949,0.862984214,[128],0.517042546,894,389,0.473722268,0.248143713,0.308263473
1.909969586,0.280412387,"[16,16,16]",0.036560647,692,148,0.209178484,0.248143713,0.308263473
4.653875344,0.34977372,"[32,32]",0.514471568,984,102,0.299337298,0.247125749,0.30748503
5.549848061,0.916280901,"[64,64,64]",0.536833576,859,177,0.024809799,0.251556886,0.294550898
9.519371159,0.136983071,[32],0.42361209,802,168,0.421695393,0.247125749,0.30748503
7.219677336,0.613238699,[64],0.203958217,937,18,0.49781926,0.248143713,0.308263473
14.99342167,0.555305658,"[128,128]",0.409081477,685,208,0.375056946,0.248143713,0.308263473
17.82312416,0.25168778,"[32,32]",0.48751643,929,408,0.552321272,0.248143713,0.308263473
9.581968771,0.283685818,"[128,128]",0.093680432,943,217,0.06101382,0.249161677,0.309041916
18.12168639,0.885567189,[128],0.283773255,981,476,0.064749981,0.262634731,0.332215569
9.920238551,0.142680479,[16],0.05676871,994,265,0.053739704,0.28760479,0.367365269
2.229671175,0.37837835,"[64,64]",0.221685101,843,260,0.257503191,0.248143713,0.308263473
15.36040205,0.809351802,"[64,64]",0.431649734,846,434,0.41308801,0.249161677,0.309041916
17.26418909,0.377748009,"[128,128,128]",0.134959134,725,282,0.25521594,0.249161677,0.309041916
1.452446803,0.430592341,"[128,128]",0.103984125,729,476,0.229640015,0.248143713,0.308263473
5.229916101,0.416240339,"[128,128,128]",0.252197715,984,319,0.486195861,0.248143713,0.308263473
14.02940495,0.520417496,"[128,128,128]",0.383574062,920,208,0.355168255,0.247125749,0.30748503
4.837958115,0.492776002,[128],0.192298583,836,269,0.093239755,0.248143713,0.308263473
8.208934076,0.210082379,"[32,32,32]",0.413731466,700,269,0.450986583,0.247125749,0.30748503
11.41369524,0.953765444,"[64,64,64]",0.315929954,845,225,0.136885982,0.249161677,0.309041916
11.38598436,0.60344872,"[128,128]",0.04157478,668,53,0.217515892,0.248143713,0.308263473
9.140310497,0.115790212,[32],0.131490241,807,259,0.547153781,0.248143713,0.308263473
8.556097375,0.86583113,[16],0.032984209,910,78,0.503344138,0.248143713,0.308263473
1.710098236,0.609566196,[16],0.075840713,884,403,0.311835978,0.249161677,0.309041916
19.94265951,0.669202306,[128],0.288880507,760,207,0.38366074,0.248143713,0.308263473
19.93665218,0.279046155,"[32,32]",0.213432485,745,428,0.441707978,0.247125749,0.30748503
14.57748874,0.387786905,[64],0.396568749,725,178,0.230405715,0.248143713,0.308263473
15.78731071,0.255932434,"[64,64,64]",0.416123826,902,289,0.4554314,0.248143713,0.308263473
19.36609962,0.750389725,"[32,32,32]",0.063646159,771,2,0.498478755,0.247125749,0.30748503
18.39130981,0.418117765,[128],0.526446819,895,32,0.405653249,0.248143713,0.308263473
18.47441338,0.100867252,[32],0.314463673,878,242,0.454356132,0.248143713,0.308263473
20.53117926,0.071263848,"[128,128]",0.019145032,890,235,0.429383898,0.248143713,0.308263473
19.51113799,0.453016029,"[128,128,128]",0.176239459,911,75,0.253555192,0.249161677,0.309041916
17.95528132,0.027792779,"[16,16,16]",0.1522184,687,225,0.403127223,0.247125749,0.30748503
2.857904294,0.183737493,"[64,64]",0.237831492,923,179,0.115346697,0.248143713,0.308263473
15.19667297,0.342372323,"[128,128]",0.00158053,759,313,0.002143382,0.384491018,0.464071856
6.255330098,0.251745503,[16],0.266259919,677,487,0.297060866,0.247125749,0.30748503
2.640191191,0.556251863,"[128,128]",0.152180693,945,251,0.024178704,0.299580838,0.364730539
0.793680205,0.266763555,"[64,64,64]",0.108920649,733,220,0.017458437,0.309700599,0.399341317
15.92779664,0.65694558,"[128,128]",0.067110466,902,141,0.249967021,0.248143713,0.308263473
9.597158741,0.859771809,[32],0.468043296,755,13,0.448172945,0.247125749,0.30748503
14.62379186,0.643759434,[64],0.289250887,879,401,0.307067822,0.247125749,0.30748503
19.32011222,0.286394947,"[128,128]",0.383438321,809,466,0.189976898,0.247305389,0.30748503
17.93002237,0.93346176,[64],0.242185357,878,83,0.33913154,0.248143713,0.308263473
4.648578893,0.35835548,[128],0.04654884,746,200,0.254235763,0.249161677,0.309041916
18.54894326,0.588275012,"[64,64,64]",0.410632371,836,487,0.536083481,0.247125749,0.30748503
14.44355697,0.02595986,"[16,16,16]",0.385493053,701,380,0.27672393,0.247125749,0.30748503
13.67200213,0.446276856,"[64,64,64]",0.375873895,957,164,0.030860768,0.283173653,0.360479042
12.38297946,0.214837468,[64],0.438305828,821,175,0.456913624,0.248143713,0.308263473
0.82149456,0.227300242,"[32,32]",0.325582474,670,99,0.362024161,0.247125749,0.30748503
16.00176252,0.960385161,[32],0.205587724,959,224,0.13050795,0.247125749,0.30748503
0.694701016,0.611227827,[32],0.339378913,773,287,0.006300166,0.353113772,0.41491018
7.666921419,0.68124733,"[16,16,16]",0.506860845,816,41,0.552775232,0.249221557,0.309041916
3.473987485,0.508453761,"[16,16]",0.364851436,995,186,0.007639089,0.296287425,0.349341317
19.02864526,0.088578184,"[32,32,32]",0.366984403,906,322,0.174894928,0.249161677,0.309041916
20.40043402,0.264918782,[128],0.457604854,784,250,0.305000266,0.248143713,0.308263473
19.14080559,0.767222855,"[16,16,16]",0.34942076,880,49,0.259549811,0.248143713,0.308263473
1.353968132,0.701051716,[16],0.125482777,863,390,0.163986543,0.247125749,0.30748503
14.89848163,0.871918331,"[32,32,32]",0.298274554,834,473,0.499983372,0.247125749,0.30748503
12.92887837,0.030079652,"[32,32]",0.405819128,736,384,0.317988662,0.248143713,0.308263473
12.83323104,0.052355787,"[64,64,64]",0.078126014,693,355,0.531854646,0.248143713,0.308263473
18.922916,0.460350552,"[128,128]",0.226915901,843,275,0.105401995,0.247125749,0.30748503
14.20681847,0.828911321,"[32,32,32]",0.203265091,805,259,0.364069096,0.248143713,0.308263473
4.054577244,0.39873849,[16],0.507309915,832,120,0.29156573,0.247125749,0.30748503
5.634811023,0.686287558,"[128,128,128]",0.076236981,985,117,0.551430618,0.249161677,0.309041916
2.098888394,0.734783798,[128],0.109415482,692,217,0.128167539,0.247125749,0.30748503
18.22745828,0.313570915,"[32,32]",0.332472535,836,320,0.239923906,0.247125749,0.30748503
9.143406987,0.412600438,"[16,16,16]",0.227937332,922,169,0.224282774,0.248143713,0.308263473
12.40547276,0.188462512,[16],0.317915514,903,167,0.055220071,0.28,0.356586826
15.57967684,0.152734067,[32],0.189216832,923,432,0.423022266,0.249161677,0.309041916
2.066291357,0.753273056,"[16,16]",0.464737744,802,225,0.237474631,0.247125749,0.30748503
16.67703452,0.550752761,[16],0.362211603,721,388,0.076852978,0.248203593,0.308323353
15.76898133,0.487158466,"[16,16]",0.407592853,995,65,0.069475486,0.249161677,0.309041916
15.26187548,0.320005252,"[64,64]",0.457738993,916,98,0.283052166,0.248143713,0.308263473
6.900438799,0.907480223,"[16,16]",0.290424728,926,81,0.228473343,0.249161677,0.309041916
10.93631097,0.386600427,"[64,64,64]",0.1633003,772,481,0.355869044,0.249161677,0.309041916
2.395339936,0.79142663,[128],0.459104763,695,404,0.216811977,0.247125749,0.30748503
13.34600644,0.931703654,"[32,32]",0.314982944,739,394,0.438999665,0.248143713,0.308263473
10.07168135,0.968561141,[64],0.437556,890,337,0.461651237,0.248143713,0.308263473
11.63924626,0.512331653,"[64,64]",0.238083941,749,218,0.315155599,0.249161677,0.309041916
6.509270715,0.386896614,[32],0.372501149,892,216,0.42596874,0.248143713,0.308263473
15.76165412,0.847672468,"[32,32]",0.042156428,974,136,0.429933231,0.248143713,0.308263473
10.47421178,0.947294171,[16],0.295537728,876,30,0.366950659,0.248143713,0.308263473
14.2930088,0.296172173,[16],0.193364212,933,117,0.408340663,0.247125749,0.30748503
13.00436831,0.10575848,"[16,16,16]",0.013725997,697,342,0.116638126,0.248143713,0.308263473
2.340931515,0.533717115,"[64,64]",0.144977434,875,298,0.378269845,0.247125749,0.30748503
3.132117361,0.308552625,"[16,16]",0.475132166,672,406,0.427021266,0.248143713,0.308263473
11.24058016,0.516758778,[64],0.091033094,833,406,0.222817732,0.247964072,0.308742515
15.45205397,0.603897219,"[64,64]",0.475211007,777,184,0.365482777,0.248143713,0.308263473
4.740803673,0.899613132,[64],0.494555859,991,177,0.388342048,0.249161677,0.309041916
5.574439937,0.306172358,"[32,32]",0.143943852,668,252,0.454919367,0.249161677,0.309041916
14.48433884,0.363270207,[128],0.51144761,916,143,0.119279493,0.249161677,0.309041916
6.205563733,0.420424553,"[32,32]",0.001382104,872,215,0.001903275,0.392095808,0.46
10.50333785,0.873865574,"[16,16,16]",0.245684638,766,160,0.313550195,0.247125749,0.30748503
18.00988607,0.917306548,"[16,16,16]",0.178814865,969,240,0.420193562,0.247125749,0.30748503
10.16021586,0.091123891,"[128,128]",0.531112632,891,263,0.00346065,0.263532934,0.300179641
15.18060701,0.718470449,[32],0.427995126,986,204,0.502450056,0.249161677,0.309041916
5.365292991,0.793862993,"[128,128]",0.405134299,930,307,0.022202311,0.272095808,0.289401198
4.231776219,0.340223902,"[128,128,128]",0.412459544,748,140,0.060722072,0.252095808,0.314850299
13.13702269,0.864605836,"[16,16]",0.200951896,829,459,0.300950369,0.247125749,0.30748503
8.663846254,0.811426637,[64],0.370990079,671,188,0.305292144,0.248143713,0.308263473
10.3340165,0.142085634,"[128,128,128]",0.359950989,934,425,0.347235651,0.249161677,0.309041916
13.30202531,0.333464346,"[16,16,16]",0.234493191,670,450,0.082748625,0.247125749,0.30748503
6.267100471,0.99049297,"[64,64]",0.2909036,701,286,0.207310997,0.248143713,0.308263473
3.939563498,0.289278098,"[32,32,32]",0.095307078,953,308,0.515974163,0.249161677,0.309041916
11.93375615,0.713947704,"[64,64]",0.388172082,907,64,0.487058342,0.247125749,0.30748503
12.29237293,0.763332298,"[128,128,128]",0.532119925,688,387,0.001137039,0.245329341,0.30245509
12.54590963,0.657920061,"[128,128]",0.362463461,710,11,0.423511068,0.248143713,0.308263473
9.226571056,0.340583822,"[16,16,16]",0.053472349,798,374,0.53608601,0.247125749,0.30748503
1.885383649,0.629248542,"[64,64]",0.372637974,718,11,0.25594629,0.248143713,0.308263473
10.85636602,0.369217369,[32],0.434405279,989,214,0.520235854,0.249161677,0.309041916
4.675881066,0.829653949,"[128,128,128]",0.031480018,755,262,0.265008373,0.248143713,0.308263473
20.07335447,0.928236843,[64],0.088455597,861,382,0.547029302,0.248143713,0.308263473
16.36298902,0.689572256,"[32,32]",0.045785459,853,460,0.383178879,0.248143713,0.308263473
13.28729643,0.70404694,"[32,32]",0.526846086,872,256,0.16901262,0.248143713,0.308263473
8.44039703,0.10970829,"[128,128,128]",0.326315108,912,323,0.300639409,0.248143713,0.308263473
10.7928244,0.530089967,"[16,16,16]",0.159943504,734,399,0.022360941,0.296646707,0.380958084
4.466685304,0.871756295,"[32,32,32]",0.120367809,895,46,0.191068378,0.248143713,0.308263473
13.59464428,0.585429392,"[64,64,64]",0.092756239,840,235,0.285153307,0.248143713,0.308263473
4.879203272,0.059092391,"[16,16,16]",0.166568407,834,177,0.522122894,0.248143713,0.308263473
15.86201146,0.69629749,[128],0.486060457,961,45,0.31778332,0.249161677,0.309041916
16.77460566,0.702674818,"[64,64,64]",0.063508683,684,411,0.142274076,0.249161677,0.309041916
9.490949692,0.676522858,"[16,16,16]",0.110771288,868,476,0.376216036,0.247125749,0.30748503
7.229137745,0.576393596,"[64,64]",0.135764741,917,156,0.121451074,0.247125749,0.30748503
1.27739842,0.829333568,[64],0.508440662,891,478,0.316875968,0.247125749,0.30748503
8.336551756,0.22659248,[32],0.434056108,714,124,0.088523505,0.248143713,0.308383234
